No;IPKM;X1;X2;X3;X4;X5;X6;X7
63;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
64;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
65;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
66;High;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
67;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
68;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
69;High;>=0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
70;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
71;High;>=0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
72;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
73;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
74;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
75;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
76;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
77;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
78;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
79;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
80;High;<0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
81;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
82;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
83;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
84;High;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
85;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
86;High;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
87;High;>=0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
88;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
89;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
90;High;>=0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
91;High;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
92;High;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
93;High;>=0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
94;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
95;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
96;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
97;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
98;High;>=0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
99;High;>=0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
100;High;<0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
101;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
102;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
103;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
104;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
105;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
106;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
107;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
108;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;>=0,7950
109;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
110;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
111;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
112;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
113;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
114;High;>=0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
115;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
116;High;<0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
117;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
118;High;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
