No;IPKM;X1;X2;X3;X4;X5;X6;X7
274;Low;<0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
275;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
276;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
277;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
278;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
279;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
280;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
281;Low;>=0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
282;Low;<0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
283;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
284;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
285;Low;<0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
286;Low;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
287;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
288;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
289;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
290;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
291;Low;<0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
292;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
293;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
294;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
295;Low;<0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
296;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
297;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
298;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
299;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
300;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
301;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
302;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
303;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
304;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
305;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
306;Low;<0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
307;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
308;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
309;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
310;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
311;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
312;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
313;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
314;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
315;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
316;Low;<0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
317;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
318;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
319;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
320;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
321;Low;<0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;<0,7950
322;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
323;Low;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;<0,7950
324;Low;<0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
325;Low;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
326;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
327;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
328;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
329;Low;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
330;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
331;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
332;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
333;Low;<0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
334;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
335;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
336;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
337;Low;>=0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
338;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
339;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
340;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
341;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
342;Low;<0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
343;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
344;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;>=0,7950
345;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;>=0,7950
346;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
347;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
348;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
349;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
350;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
351;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
352;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
353;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
354;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
355;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
356;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
357;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
358;Low;>=0,6464;>=0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
359;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
360;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
361;Low;<0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
362;Low;<0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
363;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
364;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
365;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
366;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
367;Low;<0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
368;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
369;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
370;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
371;Low;<0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
372;Low;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
373;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
374;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
375;Low;>=0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;<0,7950
376;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
377;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
378;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
379;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;>=0,7950
380;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
381;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
382;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
383;Low;<0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
384;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
385;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
386;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
387;Low;<0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
388;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
389;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
390;Low;<0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
391;Low;<0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
392;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
393;Low;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
394;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
395;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
396;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
397;Low;>=0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;<0,7950
398;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
399;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
400;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
401;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
402;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
403;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
404;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
405;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
406;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
407;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
408;Low;<0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;<0,7950
409;Low;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
410;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
411;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
412;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
413;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
414;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
415;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
416;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
417;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
418;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
419;Low;>=0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
420;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
421;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
422;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
423;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
424;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
425;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
426;Low;<0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
427;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
428;Low;<0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
429;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
430;Low;<0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
431;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
432;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
433;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
434;Low;>=0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;<0,7950
435;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
436;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
437;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
438;Low;<0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
439;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
440;Low;<0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
441;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
442;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
443;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
444;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
445;Low;<0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
446;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
447;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
448;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
449;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
450;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
451;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
452;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
453;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
454;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
455;Low;<0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
456;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
457;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
458;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
459;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
460;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
461;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
462;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
463;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
464;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
465;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
466;Low;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
467;Low;<0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
468;Low;<0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
469;Low;>=0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
470;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
471;Low;<0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
472;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
473;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
474;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
475;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
476;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
477;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
478;Low;<0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
479;Low;>=0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
480;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
481;Low;<0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
482;Low;<0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
483;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
484;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
485;Low;>=0,6464;>=0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
486;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
487;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
488;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
489;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
490;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
491;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
492;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
493;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
494;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
495;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
496;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
497;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
498;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
499;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
500;Low;<0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
501;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
502;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
503;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
504;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
505;Low;<0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
506;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
507;Low;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
508;Low;>=0,6464;>=0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
509;Low;<0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
510;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
511;Low;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
512;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
513;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
514;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
